"sale_date","total_amount"
"2023-01-01 00:04:40.941383",450000.00
"2023-01-01 00:21:08.791725",30000.00
"2023-01-01 00:45:20.962949",20000.00
"2023-01-01 02:22:41.854294",900000.00
"2023-01-01 06:00:57.448986",90000.00
"2023-01-01 06:17:43.542461",11000.00
"2023-01-01 06:41:10.064232",11000.00
"2023-01-01 10:00:53.285269",425000.00
"2023-01-01 10:14:58.255119",5000.00
"2023-01-01 13:02:54.146652",320000.00
"2023-01-01 13:39:39.934998",12500.00
"2023-01-01 14:00:38.664863",90000.00
"2023-01-01 15:25:03.432467",1600000.00
"2023-01-01 16:41:31.549147",1800000.00
"2023-01-01 17:47:52.987332",45000.00
"2023-01-01 18:00:00.865188",18000.00
"2023-01-01 18:05:56.075552",640000.00
"2023-01-01 18:21:03.774197",340000.00
"2023-01-01 21:22:35.462141",180000.00
"2023-01-02 01:55:40.844053",180000.00
"2023-01-02 03:33:12.65703",255000.00
"2023-01-02 05:17:23.592613",30000.00
"2023-01-02 05:55:13.442933",18000.00
"2023-01-02 07:15:28.313914",15000.00
"2023-01-02 07:40:14.023959",6000.00
"2023-01-02 08:09:15.778958",10000.00
"2023-01-02 08:45:38.803125",6000.00
"2023-01-02 08:56:44.35986",7500.00
"2023-01-02 10:28:20.7606",170000.00
"2023-01-02 11:14:24.287019",170000.00
"2023-01-02 13:49:33.04414",12000.00
"2023-01-02 13:59:10.596239",10000.00
"2023-01-02 14:25:16.898208",10000.00
"2023-01-02 14:43:35.114704",18000.00
"2023-01-02 17:02:16.732286",27500.00
"2023-01-02 18:21:54.153884",15000.00
"2023-01-02 18:44:23.580396",225000.00
"2023-01-02 18:54:06.341769",22000.00
"2023-01-02 19:14:51.581444",18000.00
"2023-01-02 21:29:14.100968",340000.00
"2023-01-02 22:58:01.909863",10000.00
"2023-01-02 23:06:48.076549",1600000.00
"2023-01-03 01:01:54.700671",5000.00
"2023-01-03 04:02:43.616929",45000.00
"2023-01-03 04:09:13.534736",10000.00
"2023-01-03 04:39:19.656689",90000.00
"2023-01-03 06:43:34.126626",255000.00
"2023-01-03 07:37:38.271142",90000.00
"2023-01-03 08:56:34.93451",54000.00
"2023-01-03 09:49:56.042146",90000.00
"2023-01-03 12:16:31.308564",2250000.00
"2023-01-03 12:41:58.116874",12500.00
"2023-01-03 14:23:22.002629",10000.00
"2023-01-03 14:26:50.380074",900000.00
"2023-01-03 15:28:27.185247",255000.00
